,country,flood_0_total,flood_0_percent,flood_1_total,flood_1_percent,flood_2_total,flood_2_percent,flood_3_total,flood_3_percent,flood_4_total,flood_4_percent,flood_5_total,flood_5_percent
12,Democratic Republic of the Congo,487.923828125,100.0,297.96014404296875,61.06693744659424,254.0701446533203,52.07168459892273,230.99432373046875,47.342291474342346,230.99432373046875,47.342291474342346,230.99432373046875,47.342291474342346
13,Djibouti,12.673555374145508,100.0,8.66236686706543,68.34993362426758,8.66236686706543,68.34993362426758,8.66236686706543,68.34993362426758,8.66236686706543,68.34993362426758,8.66236686706543,68.34993362426758
14,South Sudan,19.144058227539062,100.0,13.207023620605469,68.9875841140747,13.207023620605469,68.9875841140747,13.207023620605469,68.9875841140747,13.207023620605469,68.9875841140747,13.207023620605469,68.9875841140747
15,Equatorial Guinea,48.397830963134766,100.0,7.925243854522705,16.375204920768738,7.835801124572754,16.1903977394104,7.835801124572754,16.1903977394104,7.835801124572754,16.1903977394104,7.835801124572754,16.1903977394104
16,Eritrea,13.504558563232422,100.0,11.173276901245117,82.73707628250122,11.173276901245117,82.73707628250122,11.173276901245117,82.73707628250122,11.173276901245117,82.73707628250122,11.173276901245117,82.73707628250122
17,Ethiopia,829.4328002929688,100.0,653.957275390625,78.8439154624939,576.1610107421875,69.4644570350647,532.0845336914062,64.15041089057922,532.0845336914062,64.15041089057922,532.0845336914062,64.15041089057922
18,Gabon,140.3247528076172,100.0,53.638370513916016,38.22445273399353,14.52356243133545,10.34996509552002,2.318258047103882,1.65206640958786,2.318258047103882,1.65206640958786,2.318258047103882,1.65206640958786
19,Gambia,49.684547424316406,100.0,1.4606716632843018,2.939891256392002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Ghana,1357.498291015625,100.0,1217.07763671875,89.65592384338379,1025.51806640625,75.54470300674438,661.7097778320312,48.744797706604004,661.7097778320312,48.744797706604004,661.7097778320312,48.744797706604004
21,Guinea-Bissau,20.885822296142578,100.0,19.95537567138672,95.54507732391357,4.696604251861572,22.48704433441162,0.0,0.0,0.0,0.0,0.0,0.0
22,Guinea,213.74928283691406,100.0,189.10218811035156,88.4691596031189,101.9339599609375,47.68856167793274,9.317476272583008,4.359067976474762,9.317476272583008,4.359067976474762,9.317476272583008,4.359067976474762
23,Kenya,662.0886840820312,100.0,634.8023071289062,95.87874412536621,599.6757202148438,90.57332277297974,529.9127807617188,80.03652691841125,529.9127807617188,80.03652691841125,529.9127807617188,80.03652691841125
24,Lesotho,61.22774887084961,100.0,61.22774887084961,100.0,30.825288772583008,50.34528970718384,0.0,0.0,0.0,0.0,0.0,0.0
25,Liberia,60.302894592285156,100.0,43.435325622558594,72.02858924865723,0.6484562158584595,1.0753318667411804,0.0,0.0,0.0,0.0,0.0,0.0
26,Madagascar,129.3331298828125,100.0,122.5833511352539,94.78108882904053,114.27947998046875,88.36055994033813,35.643314361572266,27.55930721759796,35.643314361572266,27.55930721759796,35.643314361572266,27.55930721759796
27,Malawi,151.171875,100.0,151.171875,100.0,151.171875,100.0,151.171875,100.0,151.171875,100.0,151.171875,100.0
28,Mali,254.09315490722656,100.0,18.59638023376465,7.318725436925888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Mauritania,188.90127563476562,100.0,1.9917347431182861,1.054378692060709,0.8753912448883057,0.4634120501577854,0.8753912448883057,0.4634120501577854,0.8753912448883057,0.4634120501577854,0.8753912448883057,0.4634120501577854
30,Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Mozambique,338.1763000488281,100.0,266.51312255859375,78.80892753601074,217.3228759765625,64.26318883895874,149.98159790039062,44.350120425224304,149.98159790039062,44.350120425224304,149.98159790039062,44.350120425224304
32,Namibia,110.795166015625,100.0,92.49580383300781,83.48361253738403,46.734867095947266,42.18132197856903,0.1994914710521698,0.18005430465564132,0.1994914710521698,0.18005430465564132,0.1994914710521698,0.18005430465564132
33,Niger,131.33203125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Nigeria,3000.89404296875,100.0,438.25634765625,14.604192972183228,35.30607604980469,1.1765185743570328,0.0,0.0,0.0,0.0,0.0,0.0
35,Senegal,346.3683776855469,100.0,31.760828018188477,9.169667214155197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Sierra Leone,74.23556518554688,100.0,66.7479248046875,89.91367220878601,0.6571921110153198,0.8852792903780937,0.0,0.0,0.0,0.0,0.0,0.0
38,Somalia,99.09476470947266,100.0,28.895992279052734,29.15995717048645,28.09227752685547,28.348901867866516,4.21436882019043,4.25286740064621,4.21436882019043,4.25286740064621,4.21436882019043,4.25286740064621
39,South Africa,4831.46337890625,100.0,3446.431884765625,71.3330864906311,1821.73583984375,37.7056747674942,1229.11865234375,25.439882278442383,1229.11865234375,25.439882278442383,1229.11865234375,25.439882278442383
40,Burundi,49.0689697265625,100.0,49.0689697265625,100.0,49.0689697265625,100.0,49.0689697265625,100.0,49.0689697265625,100.0,49.0689697265625,100.0
41,Swaziland,62.830810546875,100.0,62.830810546875,100.0,20.890344619750977,33.24856758117676,0.0,0.0,0.0,0.0,0.0,0.0
42,Togo,175.39529418945312,100.0,142.42669677734375,81.20325803756714,138.43409729003906,78.92691493034363,12.393699645996094,7.066152989864349,12.393699645996094,7.066152989864349,12.393699645996094,7.066152989864349
43,Uganda,378.9992980957031,100.0,378.9992980957031,100.0,362.2294921875,95.5752432346344,232.12579345703125,61.2470269203186,232.12579345703125,61.2470269203186,232.12579345703125,61.2470269203186
44,United Republic of Tanzania,738.4597778320312,100.0,729.4265747070312,98.77675175666809,729.4265747070312,98.77675175666809,703.0056762695312,95.19891142845154,703.0056762695312,95.19891142845154,703.0056762695312,95.19891142845154
45,Zambia,299.2254333496094,100.0,299.1311950683594,99.96850490570068,294.71051025390625,98.4911322593689,259.8262634277344,86.83294653892517,259.8262634277344,86.83294653892517,259.8262634277344,86.83294653892517
46,Zimbabwe,373.14990234375,100.0,362.93328857421875,97.26206064224243,78.86437225341797,21.134769916534424,42.00261688232422,11.256231367588043,42.00261688232422,11.256231367588043,42.00261688232422,11.256231367588043
47,Algeria,43429.671875,100.0,41360.44921875,95.23546099662781,41104.3125,94.64569091796875,40762.46484375,93.85855793952942,40762.46484375,93.85855793952942,40762.46484375,93.85855793952942
48,Abyei,0.2756809890270233,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Libya,9675.033203125,100.0,8448.455078125,87.32223510742188,7834.458984375,80.97604513168335,7203.92431640625,74.458909034729,7203.92431640625,74.458909034729,7203.92431640625,74.458909034729
50,Morocco,35478.25,100.0,35067.2109375,98.84143471717834,34173.875,96.3234543800354,29824.8671875,84.06521677970886,29824.8671875,84.06521677970886,29824.8671875,84.06521677970886
51,Rwanda,141.1683807373047,100.0,141.1683807373047,100.0,141.1683807373047,100.0,141.1683807373047,100.0,141.1683807373047,100.0,141.1683807373047,100.0
52,Sao Tome and Principe,6.323559761047363,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Tunisia,12874.5751953125,100.0,11810.0966796875,91.73193573951721,11710.6884765625,90.95980525016785,11401.134765625,88.55542540550232,11401.134765625,88.55542540550232,11401.134765625,88.55542540550232
54,Western Sahara,946.6561889648438,100.0,30.970718383789062,3.271590918302536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Hala'ib triangle,15.379894256591797,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Ma'tan al-Sarra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Egypt,70399.0859375,100.0,61582.171875,87.47581243515015,53012.96484375,75.30348300933838,51072.79296875,72.54752516746521,51072.79296875,72.54752516746521,51072.79296875,72.54752516746521
58,Ilemi triangle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
